0.533,0.106,0.298,3.3,8.8,6.1,22.9,1.5,0.6,16.3,16.2,0.6,0.1,0.8,0.07,-1.2,-2,-3.2,-0.2,0.468,0.333,0.484,0.486,0.786,0,0,0,0,1
0.516,0.003,0.365,8.4,26.2,17.6,5.2,1,3.1,13.6,24.3,0.9,3.9,4.8,0.113,-2.8,1.2,-1.6,0.2,0.466,0,0.467,0.466,0.731,1,0,0,0,0
0.581,0.325,0.189,6.6,11.4,9.1,11.5,1.6,0.4,8,23.7,3.9,0.7,4.6,0.155,3.6,-3,0.6,0.9,0.483,0.444,0.501,0.555,0.791,0,0,0,1,0
0.623,0.002,0.423,11.8,26.3,19.1,3.1,0.8,3.6,12.4,19.1,5.8,2.4,8.2,0.189,0.1,-0.6,-0.5,0.8,0.572,0,0.573,0.572,0.786,1,0,0,0,0
0.465,0.437,0.214,1.5,5.6,3.6,25.2,1.3,0.2,11.5,26.1,0.1,0.3,0.4,0.023,-0.1,-3.9,-4,-0.4,0.346,0.284,0.394,0.408,0.94,0,0,0,0,1
0.573,0.122,0.466,4.4,15,9.6,12.9,1.4,1.6,18.6,16.6,0.6,0.5,1.1,0.068,-1.6,0.4,-1.2,0.2,0.508,0.217,0.548,0.521,0.727,0,0,1,0,0
0.532,0.004,0.794,11.8,20.9,16.5,2.1,0.6,4.2,14.5,12.4,0.8,2.1,2.9,0.104,-3.2,2.1,-1,0.3,0.574,0,0.577,0.574,0.362,1,0,0,0,0
0.337,0.182,0.182,0,18,8.9,0,0,7.7,0,28.3,-0.1,0,-0.1,-0.131,-12,-4.5,-16.5,-0.1,0.364,0,0.444,0.364,0,0,1,0,0,0
0.51,0.212,0.34,7.5,14.8,10.9,13.9,2.6,1.7,16.2,19.1,0.9,0.3,1.2,0.062,0.6,0,0.6,0.6,0.441,0.286,0.483,0.471,0.673,0,0,1,0,0
0.499,0,0.226,9.9,23,16.5,4.3,1.3,5.8,15,11.5,0,0.3,0.3,0.093,-3.7,3.2,-0.5,0.1,0.516,0,0.516,0.516,0.286,0,1,0,0,0
0.138,0,0.2,20.9,13.9,17.4,0,6.3,0,8.4,32.8,-0.2,0,-0.1,-0.345,-17.6,-5.2,-22.7,-0.1,0.1,0,0.1,0.1,0.5,0,1,0,0,0
0.51,0.541,0.184,2.9,11.5,7.5,4.5,1,2.1,5.6,16.5,1,1.2,2.2,0.077,-0.6,-0.4,-1,0.4,0.368,0.378,0.356,0.47,0.877,0,0,1,0,0
0.532,0.337,0.19,3.2,12.2,7.7,6.2,1,0.9,11.8,20.4,1.4,1.4,2.8,0.091,-0.5,-1.6,-2.1,0,0.441,0.401,0.461,0.509,0.721,0,0,1,0,0
0.556,0.109,0.34,8.4,12.4,10.4,11.8,2.2,1,8.3,30.4,9.3,1.8,11.1,0.184,5.3,-1.6,3.7,4.2,0.484,0.322,0.504,0.502,0.807,0,0,1,0,0
0.543,0.037,0.467,5.1,9.9,7.4,33,2.6,0.6,16.8,19.7,4.1,3.3,7.4,0.143,1.9,0.9,2.8,3,0.485,0.133,0.499,0.488,0.717,0,0,0,1,0
0.534,0.162,0.194,4.3,15.1,9.7,11.8,1.4,1.1,12.3,27.6,3.5,1.3,4.8,0.08,1.1,-1.9,-0.8,0.9,0.472,0.363,0.493,0.502,0.802,0,0,1,0,0
0.351,0.242,0.182,1.6,9.7,5.7,2.9,1.1,0.5,16.4,13.9,-0.3,0.1,-0.2,-0.084,-7.8,-1.2,-9,-0.2,0.273,0.125,0.32,0.288,1,0,0,0,1,0
0.497,0.111,0.288,2,11.6,7,17.2,1.9,0.8,13.7,25.8,0.5,4.6,5.1,0.082,-0.6,1.1,0.5,1.9,0.43,0.304,0.446,0.447,0.783,0,0,1,0,0
0.314,0,0.087,14.5,9.8,12.1,12.2,0.9,0,20.1,22.1,-0.2,0.1,-0.1,-0.121,-7.3,-2,-9.2,-0.1,0.304,0,0.304,0.304,0.5,1,0,0,0,0
0.443,0.009,0.306,17.4,22.5,19.7,10.6,1.6,0.5,16.7,16,0.1,0.5,0.6,0.021,-1.4,0.1,-1.4,0.2,0.438,0.25,0.44,0.439,0.411,0,1,0,0,0
0.521,0.008,0.154,6.5,18.7,12.5,11.9,2.1,3.8,16.5,11.6,0.5,0.7,1.2,0.09,-2,3.1,1.1,0.5,0.512,0,0.516,0.512,0.579,0,1,0,0,0
0.497,0.348,0.262,6.2,15.3,10.7,11.1,2,0.8,16.6,25.4,-0.2,0.5,0.3,0.029,-1.5,-1.8,-3.3,-0.2,0.407,0.377,0.424,0.473,0.621,0,1,0,0,0
0.461,0.009,0.274,3.3,9.6,6.6,29.9,2.1,1,23.7,18,-0.6,0.7,0.1,0.008,-2.8,-0.3,-3.1,-0.2,0.414,0,0.418,0.414,0.746,0,0,0,0,1
0.47,0.04,0.372,1.5,10.4,5.9,24.4,1.9,0.8,19,19.5,-0.9,1.1,0.2,0.008,-3.7,-1.3,-5.1,-1.1,0.424,0.063,0.439,0.426,0.653,0,0,0,0,1
0.24,0.353,0.235,4.5,4.6,4.5,11.4,0,1.6,5.1,17.4,-0.2,0,-0.1,-0.144,-7.2,-3.2,-10.4,-0.1,0.176,0.167,0.182,0.206,0.5,0,0,0,1,0
0.503,0.319,0.309,3.3,14.2,8.6,15,1.2,0.9,11.5,18.1,1.9,2.3,4.2,0.077,-0.7,0.4,-0.3,1.1,0.406,0.285,0.462,0.451,0.778,0,0,1,0,0
0.505,0.311,0.174,2.4,16.1,9.4,8.3,1.1,2.8,12.5,20.6,-0.2,0.7,0.5,0.037,-2.1,0.5,-1.6,0.1,0.419,0.347,0.452,0.473,0.81,0,0,1,0,0
0.478,0.175,0.241,2.3,7.6,5,22.1,1.7,0.7,14.1,23.7,-0.3,1.2,0.9,0.025,-2.1,-2,-4.2,-0.9,0.406,0.301,0.429,0.433,0.794,0,0,0,0,1
0.453,0.018,0.208,1,8.8,4.9,31.1,3.1,0.5,16,12.2,0.5,1.6,2.1,0.06,-3,-0.1,-3,-0.4,0.404,0,0.411,0.404,0.873,0,0,0,0,1
0.496,0.009,0.275,10.9,13.5,12.1,10.9,1,0.7,11.8,26,1.1,0.3,1.4,0.043,0.2,-2.1,-1.9,0.1,0.471,0.286,0.473,0.472,0.611,0,0,1,0,0
0.453,0.022,0.178,1.3,9.3,5.5,10.8,1.8,0,11,9.3,0,0.3,0.3,0.059,-4,0.4,-3.5,-0.1,0.4,0,0.409,0.4,1,0,0,0,0,1
0.49,0.209,0.432,1.3,10.9,6.1,23.4,1.1,0.4,14.9,16.3,0.3,0.4,0.7,0.062,-3,-2,-5,-0.4,0.374,0.31,0.391,0.406,0.817,0,0,0,0,1
0.233,0,0.167,10.4,19.6,15.1,3.9,0,0,18.9,20,-0.2,0,-0.1,-0.206,-12.4,-3.6,-16.1,-0.1,0.25,0,0.25,0.25,0,1,0,0,0,0
